siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NH02,NA1147OW,"1979-07-31 14:15","1979-08-07 14:05",197908,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,701.000,9.140,9.140,"  ","x           ",1985-12-31
NH02,NA1167OW,"1979-08-07 14:05","1979-08-14 15:45",197908,4.390,19.900," ",.080," ",.023," ",.007," ",.045," ",.140," ",.990," ",.080," ",2.180,0,-9,3938.000,57.910,57.910,"w ","            ",1985-05-17
NH02,NA1196OW,"1979-08-14 15:45","1979-08-21 13:30",197908,4.300,36.300," ",.330," ",.110," ",.062," ",1.566,<,.020," ",1.900," ",2.020," ",3.700,0,-9,1442.500,20.320,20.320,"w ","            ",1985-05-17
NH02,NA1226OW,"1979-08-21 13:30","1979-08-28 13:15",197908,3.980,52.100," ",.060," ",.031," ",.019," ",.080," ",.450," ",2.300," ",.120," ",5.250,0,-9,1155.500,16.260,16.260,"w ","            ",1985-05-17
NH02,NA1300OW,"1979-08-28 13:15","1979-09-04 14:00",197908,4.140,56.700," ",.420," ",.058," ",.021," ",4.318," ",.170," ",4.150," ",.550," ",10.050,0,-9,303.500,5.080,5.080,"w ","            ",1985-05-17
NH02,NA1294OW,"1979-09-04 14:00","1979-09-11 14:00",197909,4.960,9.200," ",.180," ",.029," ",.019," ",.259,<,.020," ",.350," ",.200," ",1.250,0,-9,3278.000,48.010,48.010,"w ","            ",1986-01-09
NH02,NA1327OW,"1979-09-11 14:00","1979-09-18 13:30",197909,4.560,15.900," ",.060," ",.039," ",.027," ",.218," ",.120," ",.650," ",.250," ",1.850,0,-9,1975.500,29.720,29.720,"w ","            ",1985-05-17
NH02,NA1351OW,"1979-09-18 13:30","1979-09-25 14:00",197909,4.470,22.000," ",.200," ",.024," ",.009," ",1.225," ",.060," ",2.000," ",.190," ",3.050,0,-9,690.500,10.160,10.160,"w ","            ",1985-05-17
NH02,NA1391OW,"1979-09-25 14:00","1979-10-02 13:30",197909,4.620,11.000," ",.030," ",.003,<,.004," ",.015,<,.020," ",1.100,<,.050," ",.600,0,-9,1516.500,22.100,22.100,"w ","            ",1985-05-17
NH02,NA1425OW,"1979-10-02 13:30","1979-10-09 20:15",197910,4.770,8.800," ",.040," ",.010,<,.004," ",.045,<,.020," ",.450," ",.100," ",.750,0,-9,4944.000,75.690,75.690,"w ","            ",1985-05-17
NH02,NA1457OW,"1979-10-09 20:15","1979-10-16 14:15",197910,4.390,23.400," ",.190," ",.016,<,.004," ",.399," ",.060," ",2.200," ",.120," ",2.150,0,-9,1365.000,20.070,20.070,"w ","            ",1986-05-21
NH02,NA1490OW,"1979-10-16 14:15","1979-10-23 13:15",197910,3.790,84.200," ",.630," ",.122," ",.033," ",.209," ",.520," ",9.950," ",.410," ",5.500,0,-9,62.000,.510,.510,"w ","            ",1985-06-04
NH02,NA1528OW,"1979-10-23 13:15","1979-10-30 14:00",197910,4.200,38.000," ",.190," ",.032," ",.020," ",.570," ",.250," ",2.880," ",.340," ",3.800,0,-9,1409.000,20.570,20.570,"w ","            ",1985-05-17
